Food	Cal	CalFat	Fat	SatFat	Chol	Sodium	Carbo	Protein	VitA	VitC	Calcium	Iron
McFlurry_with_M&M'S_Candies_(12_fl_oz_cup) 10.9_oz_(310_g)	650	210	23	14	50	180	96	13	15	0	45	8
McFlurry_with_M&M'S_Candies_(16_fl_oz_cup) 16.2_oz_(460_g)	930	290	33	20	75	260	139	20	25	0	70	10
McFlurry_with_OREO_Cookies_(12_fl_oz_cup) 10.1_oz_(285_g) 	510	150	17	9	45	280	80	12	15	0	40	8
McFlurry_with_OREO_Cookies_(16_fl_oz_cup) 13.4_oz_(381_g) 	690	200	23	12	55	380	106	15	20	0	50	10
McFlurry_with_Reese's_Peanut_Butter_Cup_(16_fl_oz_cup) 14.2_oz_(403_g)	810	290	32	15	60	400	114	21	20	0	60	6
McRib_ 7.3_oz_(208_g)                                     	500	240	26	10	70	980	44	22	2	2	15	20
Medium_French_Fries 4.1_oz_(117_g)                        	380	170	19	2	0	270	48	4	0	15	2	6
Mighty_Wings_(10_piece) 11.1_oz_(314_g)                   	960	570	63	13	295	2900	40	60	4	6	6	15
Mighty_Wings_(3_piece) 3.3_oz_(94_g)                      	290	170	19	4	90	870	12	18	2	2	2	4
Mighty_Wings_(5_piece) 5.5_oz_(157_g)                     	480	280	31	7	145	1450	20	30	2	4	2	6
Minute_Maid_100%_Apple_Juice_Box 6.8_fl_oz_(200_ml)       	100	0	0	0	0	15	23	0	0	100	10	0
Minute_Maid_Orange_Juice_(Large) 22_fl_oz_cup             	280	0	0	0	0	5	65	4	0	240	4	0
Minute_Maid_Orange_Juice_(Medium) 16_fl_oz_cup            	190	0	0	0	0	0	44	3	0	160	4	0
Minute_Maid_Orange_Juice_(Small) 12_fl_oz_cup             	150	0	0	0	0	0	34	2	0	130	2	0
Mocha_(Large) 20_fl_oz_cup                                	500	150	17	10	50	240	72	16	15	0	50	8
Mocha_(Medium) 16_fl_oz_cup                               	410	120	14	8	40	190	60	13	10	0	40	6
Mocha_(Small) 12_fl_oz_cup                                	340	100	11	7	35	150	49	10	10	0	30	6
Mocha_with_Nonfat_Milk_(Large) 20_fl_oz_cup               	390	35	4	2	20	240	73	17	20	0	50	8
Mocha_with_Nonfat_Milk_(Medium) 16_fl_oz_cup              	330	30	3	2	15	190	60	13	15	0	40	6
Mocha_with_Nonfat_Milk_(Small) 12_fl_oz_cup               	270	30	3	2	15	150	49	11	10	0	35	6
Newman's_Own_Creamy_Southwest_Dressing 1.5_fl_oz_(44_ml)  	100	50	6	1	20	340	11	1	0	0	2	2
Newman's_Own_Low_Fat_Balsamic_Vinaigrette 1.5_fl_oz_(44_ml)	35	25	2	0	0	420	3	0	0	0	0	0
Newman's_Own_Low_Fat_Family_Recipe_Italian_Dressing 1.5_fl_oz_(44_ml)	50	20	2	0	0	390	7	1	0	0	2	0
Newman's_Own_Low_Fat_Sesame_Ginger_Dressing 1.5_fl_oz_(44_ml)	90	25	2	0	0	410	15	1	0	4	0	0
Newman's_Own_Ranch_Dressing 2_fl_oz_(59_ml)               	170	130	15	2	20	530	9	1	0	0	4	0
Nonfat_Caramel_Latte_(Large) 20_fl_oz_cup                 	310	0	0	0	10	180	63	16	15	0	50	2
Nonfat_Caramel_Latte_(Medium) 16_fl_oz_cup                	250	0	0	0	5	135	51	12	15	0	40	0
Nonfat_Caramel_Latte_(Small) 12_fl_oz_cup                 	200	0	0	0	5	110	41	10	10	0	30	0
Nonfat_Caramel_Mocha_(Large) 20_fl_oz_cup                 	370	35	3	2	20	270	67	17	20	0	50	4
Nonfat_Caramel_Mocha_(Medium) 16_fl_oz_cup                	310	30	3	2	15	210	56	13	15	0	40	2
Nonfat_Caramel_Mocha_(Small) 12_fl_oz_cup                 	250	30	3	2	15	170	45	10	10	0	35	2
Nonfat_French_Vanilla_Latte_(Large) 20_fl_oz_cup          	300	0	0	0	10	180	60	16	15	0	50	2
